TRAVELER_ID,RESIDENCE_SGG_CD,GENDER,AGE_GRP,EDU_NM,EDU_FNSH_SE,MARR_STTS,FAMILY_MEMB,JOB_NM,JOB_ETC,INCOME,HOUSE_INCOME,TRAVEL_TERM,TRAVEL_NUM,TRAVEL_LIKE_SIDO_1,TRAVEL_LIKE_SGG_1,TRAVEL_LIKE_SIDO_2,TRAVEL_LIKE_SGG_2,TRAVEL_LIKE_SIDO_3,TRAVEL_LIKE_SGG_3,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_STATUS_RESIDENCE,TRAVEL_STATUS_DESTINATION,TRAVEL_STATUS_ACCOMPANY,TRAVEL_STATUS_YMD,TRAVEL_MOTIVE_1,TRAVEL_MOTIVE_2,TRAVEL_MOTIVE_3,TRAVEL_COMPANIONS_NUM
e007836,43,여,40,6,1,2,4,3,,6,10,2,2,42,42750,43,43150,45,45730,2,2,2,4,2,2,6,5,충청북도,경기,자녀 동반 여행,2023-08-19~2023-08-19,3,1,10,2
e012144,44,여,20,6,3,1,4,12,,1,7,1,4,50,50130,11,11710,26,26350,5,1,3,5,2,3,1,7,충청남도,서울,2인 가족 여행,2023-08-31~2023-08-31,3,1,2,1
e011483,41,여,20,7,1,1,3,2,,2,3,2,3,11,11230,41,41820,41,41390,5,3,1,1,7,5,2,7,경기도,서울,2인 여행(가족 외),2023-08-26~2023-08-26,1,3,7,1
e000346,11,남,60,6,1,2,3,2,,6,6,2,1,26,26200,28,28710,11,11440,3,5,4,6,3,5,4,5,서울특별시,인천,3인 이상 여행(가족 외),2023-05-27~2023-05-27,7,3,1,2
e003929,41,여,40,5,1,2,3,11,,1,4,2,2,42,42170,11,11230,48,48330,5,5,5,4,5,5,4,6,경기도,경기,나홀로 여행,2023-07-01~2023-07-01,5,7,1,0
e007231,41,여,60,6,1,2,5,2,,5,7,3,2,42,42150,50,50130,47,47130,2,3,4,5,5,4,3,5,경기도,서울,2인 여행(가족 외),2023-08-19~2023-08-19,4,7,1,1
e006884,11,남,30,6,1,2,2,3,,6,9,2,2,42,42130,42,42750,42,42770,1,1,1,3,1,1,2,5,서울특별시,경기,2인 가족 여행,2023-08-20~2023-08-20,6,3,2,1
e003449,11,여,60,2,1,3,1,11,,2,,2,1,41,41360,41,41650,42,42780,1,5,4,2,2,3,4,4,서울특별시,경기,2인 여행(가족 외),2023-06-17~2023-06-17,2,1,3,1
e001544,11,여,30,6,1,1,1,4,,4,,3,3,47,47130,45,45110,46,46130,4,2,1,1,1,7,1,7,서울특별시,경기,2인 가족 여행,2023-06-04~2023-06-04,7,2,,1
e010174,41,여,20,6,1,1,3,3,,4,9,2,1,48,48120,11,11260,41,41360,2,3,1,4,3,5,3,7,경기도,서울,2인 여행(가족 외),2023-08-26~2023-08-26,3,1,7,1
e006179,41,여,30,6,1,1,2,3,,7,7,3,6,50,50110,42,42150,42,42210,4,1,3,2,5,3,7,7,경기도,서울,2인 여행(가족 외),2023-08-07~2023-08-09,2,1,3,1
e003381,41,여,30,7,1,1,2,13,,5,6,2,2,41,41170,41,41820,27,27140,3,4,2,4,4,2,3,6,경기도,경기,2인 여행(가족 외),2023-06-17~2023-06-17,1,2,3,1
e009505,41,남,30,6,1,1,1,5,,4,,3,3,42,42210,48,48220,31,31710,1,1,1,6,1,1,7,2,경기도,경기,2인 여행(가족 외),2023-08-26~2023-08-26,3,1,7,1
e007871,41,여,40,6,1,2,3,11,,2,6,2,2,47,47130,28,28710,42,42110,3,2,2,1,3,4,1,6,경기도,서울,자녀 동반 여행,2023-08-27~2023-08-27,8,7,3,2
e007583,41,남,20,5,1,1,1,2,,6,,2,1,48,48170,11,11680,26,26500,6,2,4,2,3,6,5,5,경기도,서울,2인 여행(가족 외),2023-08-24~2023-08-24,3,1,7,1
e002045,28,남,30,6,1,1,2,3,,5,5,3,6,42,42210,26,26350,44,44825,2,1,4,3,2,2,2,5,인천광역시,경기,2인 여행(가족 외),2023-06-05~2023-06-06,2,1,3,1
e001251,41,여,30,7,1,2,4,2,,7,12,1,1,50,50130,47,47930,42,42830,6,1,3,1,4,6,4,2,경기도,서울,자녀 동반 여행,2023-05-28~2023-05-29,3,8,2,3
e003409,43,여,30,6,1,1,2,3,,4,5,2,2,50,50130,48,48310,46,46150,1,1,1,4,4,4,7,7,충청북도,서울,2인 여행(가족 외),2023-06-18~2023-06-19,5,3,1,1
e003870,11,남,60,4,1,2,2,13,,5,6,2,2,41,41360,28,28710,41,41460,3,3,4,4,3,4,5,5,서울특별시,경기,3대 동반 여행(친척 포함),2023-06-24~2023-06-25,3,2,7,5
e003073,11,여,20,6,2,1,2,12,,1,1,1,5,50,50130,42,42720,42,42230,6,4,4,2,3,4,7,5,서울특별시,경기,3인 이상 여행(가족 외),2023-07-04~2023-07-05,1,2,7,7
e003547,41,여,20,6,3,1,4,12,,2,11,3,1,11,11680,42,42210,50,50110,6,5,4,2,4,6,5,2,경기도,서울,나홀로 여행,2023-06-24~2023-06-25,7,1,4,0
e004313,41,여,20,6,1,1,4,2,,4,10,2,1,46,46150,29,29110,47,47110,2,3,1,7,4,3,2,6,경기도,경기,나홀로 여행,2023-07-07~2023-07-08,1,2,6,0
e001188,41,남,40,6,1,2,3,3,,6,7,2,1,26,26350,47,47130,50,50130,1,1,4,2,4,4,4,4,경기도,경기,3인 이상 여행(가족 외),2023-06-03~2023-06-03,3,1,6,2
e010740,41,여,20,5,1,1,5,3,,4,8,3,7,50,50130,26,26350,11,11110,4,2,2,2,2,2,2,6,경기도,서울,나홀로 여행,2023-09-04~2023-09-04,1,2,7,0
e006816,11,남,30,6,1,2,2,11,,2,7,2,1,42,42150,42,42820,47,47130,3,1,1,1,1,2,1,6,서울특별시,경기,2인 여행(가족 외),2023-08-11~2023-08-11,1,3,5,1
e010729,41,여,20,6,1,1,3,3,,4,6,3,1,11,11440,26,26350,41,41110,6,2,2,2,2,6,2,5,경기도,서울,부모 동반 여행,2023-08-24~2023-08-24,7,1,6,2
e001103,41,여,40,5,1,1,3,13,,4,6,2,1,50,50110,50,50130,42,42210,1,1,4,4,2,2,3,6,경기도,서울,3인 이상 여행(가족 외),2023-05-29~2023-05-30,2,3,1,2
e000745,11,여,40,6,1,2,4,2,,5,9,2,1,41,41130,46,46130,11,11680,2,4,2,2,6,3,1,5,서울특별시,경기,3인 이상 여행(가족 외),2023-05-27~2023-05-27,3,8,7,2
e010991,11,남,30,6,3,4,1,3,,5,,2,1,42,42820,42,42830,42,42750,2,2,1,4,1,2,1,7,서울특별시,경기,2인 여행(가족 외),2023-08-27~2023-08-27,3,7,1,1
e007421,11,여,30,7,5,1,4,2,,6,12,2,2,41,41110,11,11680,41,41360,1,7,1,1,7,1,1,7,서울특별시,경기,2인 여행(가족 외),2023-08-19~2023-08-19,3,8,7,1
e001142,11,여,30,5,1,1,1,13,,3,,3,6,50,50130,42,42150,26,26350,3,1,1,4,4,4,5,6,서울특별시,인천,2인 여행(가족 외),2023-06-06~2023-06-08,1,2,7,1
e001026,41,남,30,7,1,2,2,13,,6,11,3,10,50,50130,42,42210,11,11560,2,2,3,3,2,4,2,6,경기도,경기,2인 가족 여행,2023-06-04~2023-06-05,3,1,2,1
e000628,11,남,40,6,1,1,1,3,,7,,3,3,42,42150,41,41820,26,26350,5,3,2,6,5,4,4,5,서울특별시,경기,3인 이상 여행(가족 외),2023-05-26~2023-05-28,3,2,1,2
e002284,41,남,20,7,1,1,1,12,,4,,2,1,50,50110,41,41590,26,26350,2,2,1,3,4,2,6,7,경기도,경기,2인 여행(가족 외),2023-06-03~2023-06-03,3,7,5,1
e004561,41,여,30,6,1,2,2,3,,5,9,2,1,41,41460,11,11110,50,50130,3,6,3,3,3,2,6,5,경기도,경기,나홀로 여행,2023-07-22~2023-07-22,7,2,1,0
e004050,11,여,30,6,1,2,4,3,,9,12,2,2,41,41830,42,42150,46,46730,4,3,2,1,6,5,2,7,서울특별시,경기,자녀 동반 여행,2023-07-02~2023-07-02,1,5,3,3
e003775,41,여,30,7,1,1,1,13,,6,,2,1,26,26350,26,26710,50,50130,2,2,1,2,2,3,3,6,경기도,서울,2인 여행(가족 외),2023-07-01~2023-07-01,3,,,1
e000686,41,남,30,4,1,1,1,8,,4,,3,8,50,50110,26,26350,45,45110,3,2,1,2,2,6,3,3,경기도,경기,2인 여행(가족 외),2023-06-05~2023-06-05,1,3,2,1
e007862,41,여,40,5,1,1,2,3,,4,4,3,3,42,42150,46,46130,47,47110,4,3,3,3,4,4,6,6,경기도,인천,2인 여행(가족 외),2023-08-26~2023-08-26,1,8,7,1
e007914,11,여,20,6,1,1,4,3,,4,4,4,1,50,50130,42,42210,42,42110,4,5,3,4,6,3,6,7,서울특별시,경기,2인 여행(가족 외),2023-08-27~2023-08-27,8,7,5,1
e002775,11,여,40,6,1,2,3,3,,8,11,2,1,42,42760,45,45110,41,41480,1,4,4,6,6,3,2,2,서울특별시,경기,자녀 동반 여행,2023-06-24~2023-06-24,1,3,7,2
e006497,41,남,40,6,1,2,3,2,,8,8,3,10,42,42210,26,26350,11,11200,1,2,2,1,1,2,1,3,경기도,서울,자녀 동반 여행,2023-08-14~2023-08-15,3,2,1,2
e004655,41,여,30,4,1,1,2,3,,4,5,2,2,11,11710,41,41360,42,42830,4,4,4,4,4,4,4,4,경기도,서울,2인 여행(가족 외),2023-07-08~2023-07-08,1,3,7,1
e002625,43,여,30,5,1,1,2,4,,4,8,4,1,42,42150,47,47770,26,26350,3,1,4,3,3,5,6,6,충청북도,경기,2인 여행(가족 외),2023-06-30~2023-07-01,2,1,5,1
e009412,28,여,20,4,1,1,5,12,,1,6,2,1,11,11440,42,42150,27,27230,5,5,5,3,3,5,5,5,인천광역시,서울,2인 여행(가족 외),2023-08-22~2023-08-22,3,2,1,1
e012268,11,여,30,6,1,1,1,2,,4,,2,2,42,42760,46,46130,45,45130,1,2,2,6,2,1,6,2,서울특별시,경기,2인 여행(가족 외),2023-09-02~2023-09-02,3,1,2,1
e002064,41,남,20,6,2,1,5,12,,2,10,2,1,50,50110,26,26350,11,11680,6,1,1,1,7,2,1,7,경기도,서울,2인 여행(가족 외),2023-06-02~2023-06-02,3,1,2,1
e007816,11,남,30,6,1,1,3,2,,7,11,3,2,41,41570,26,26350,42,42210,4,1,6,2,2,4,1,3,서울특별시,경기,나홀로 여행,2023-08-26~2023-08-26,2,1,6,0
e002084,11,남,20,5,1,1,2,2,,4,4,2,2,41,41360,42,42150,41,41830,3,4,2,3,4,3,6,5,서울특별시,경기,2인 여행(가족 외),2023-06-03~2023-06-03,1,3,7,1
e005157,30,남,60,6,1,2,2,3,,1,4,2,1,48,48310,42,42150,26,26710,3,5,5,5,3,5,5,4,대전광역시,서울,자녀 동반 여행,2023-07-17~2023-07-17,8,3,1,2
e002570,11,남,50,7,1,2,4,2,,7,8,2,2,41,41830,41,41820,41,41460,2,3,4,4,2,3,3,6,서울특별시,경기,3인 이상 여행(가족 외),2023-06-10~2023-06-11,3,1,7,3
e010492,41,여,20,6,1,1,5,2,,3,8,2,1,42,42150,48,48310,45,45110,3,4,2,3,2,2,3,5,경기도,인천,부모 동반 여행,2023-08-26~2023-08-26,3,10,5,3
e006272,41,여,30,5,1,1,2,3,,4,4,2,1,42,42150,41,41360,50,50130,3,4,4,4,2,3,2,1,경기도,경기,2인 여행(가족 외),2023-08-05~2023-08-05,1,3,5,1
e004326,11,남,20,5,1,1,3,10,,5,8,2,1,41,41290,42,42150,41,41210,5,4,5,5,5,5,4,6,서울특별시,경기,3인 이상 가족 여행(친척 포함),2023-07-07~2023-07-08,3,1,5,2
e004658,45,여,20,6,1,1,6,3,,4,4,2,2,26,26350,11,11110,30,30110,6,2,2,6,4,3,2,7,전라북도,서울,2인 여행(가족 외),2023-07-08~2023-07-08,3,5,2,1
e007796,11,여,40,5,1,2,4,13,,3,8,2,1,41,41650,42,42210,28,28710,2,2,2,2,2,6,2,6,서울특별시,경기,자녀 동반 여행,2023-08-27~2023-08-27,2,6,3,3
e007155,41,여,20,6,1,1,4,3,,4,8,2,2,50,50130,50,50110,42,42810,3,3,2,2,3,2,4,6,경기도,경기,2인 여행(가족 외),2023-08-12~2023-08-12,6,7,3,1
e002527,28,여,30,6,1,2,3,4,,3,5,2,1,41,41280,31,31200,41,41480,7,7,7,5,5,7,3,3,인천광역시,경기,나홀로 여행,2023-06-11~2023-06-11,2,1,6,0
e005472,47,남,20,4,1,1,4,12,,1,7,3,6,26,26500,11,11110,11,11440,5,3,3,5,5,5,3,5,경상북도,서울,2인 가족 여행,2023-07-24~2023-07-24,3,7,1,1
e002991,41,여,40,4,1,2,2,11,,2,4,4,1,41,41110,26,26440,50,50130,2,2,4,5,6,4,2,6,경기도,경기,3인 이상 가족 여행(친척 포함),2023-06-10~2023-06-11,2,7,1,3
e004393,42,여,20,6,1,1,4,4,,3,8,2,1,42,42150,50,50110,26,26350,2,1,1,6,5,3,7,3,강원도,경기,2인 여행(가족 외),2023-07-21~2023-07-22,1,3,2,1
e003006,41,남,30,4,1,2,2,7,,7,10,2,1,26,26350,41,41130,29,29110,6,1,1,6,1,6,2,1,경기도,경기,2인 가족 여행,2023-06-11~2023-06-11,8,7,3,1
e004860,29,여,20,4,1,1,4,3,,4,11,2,1,46,46130,50,50110,26,26350,2,1,1,4,3,5,6,7,광주광역시,경기,2인 가족 여행,2023-07-07~2023-07-09,3,1,5,1
e000693,11,남,40,5,1,2,4,11,,2,6,2,2,42,42150,50,50110,28,28110,1,4,1,3,6,1,1,6,서울특별시,인천,자녀 동반 여행,2023-05-20~2023-05-20,1,3,2,2
e004380,11,여,30,6,1,2,4,4,,4,7,3,4,42,42820,50,50110,42,42210,3,4,2,4,4,4,4,5,서울특별시,인천,자녀 동반 여행,2023-07-01~2023-07-01,7,9,3,3
e010724,41,여,20,6,1,1,1,4,,4,,3,5,11,11680,26,26110,50,50110,3,3,2,4,5,3,5,4,경기도,경기,2인 여행(가족 외),2023-08-26~2023-08-26,3,2,7,1
e000018,41,여,40,6,1,2,5,11,,1,5,3,6,41,41360,42,42790,11,11410,2,1,2,7,4,1,2,2,경기도,경기,자녀 동반 여행,2023-04-29~2023-04-29,1,7,8,2
e011151,11,남,30,6,1,2,2,3,,7,12,3,3,11,11380,11,11110,11,11740,3,7,4,6,4,2,6,4,서울특별시,경기,2인 가족 여행,2023-08-27~2023-08-27,1,2,3,1
e001351,11,남,30,6,1,1,2,3,,6,8,1,2,26,26530,48,48310,42,42210,4,2,3,2,3,5,5,6,서울특별시,경기,2인 여행(가족 외),2023-06-05~2023-06-06,1,2,9,1
e011588,11,남,40,6,1,2,4,2,,7,8,2,1,42,42150,41,41570,44,44130,6,2,2,2,2,4,2,3,서울특별시,경기,자녀 동반 여행,2023-08-26~2023-08-26,3,2,6,2
e001458,11,여,60,6,1,3,2,2,,2,8,2,1,50,50130,26,26350,46,46150,2,3,3,2,2,2,2,2,서울특별시,경기,자녀 동반 여행,2023-06-03~2023-06-03,1,3,2,1
e007800,28,남,30,5,1,2,3,7,,6,6,2,3,41,41290,41,41110,42,42110,4,4,3,4,4,3,2,5,인천광역시,경기,자녀 동반 여행,2023-08-26~2023-08-26,8,1,7,2
e003885,11,여,20,6,1,1,3,3,,6,7,2,2,42,42150,41,41820,28,28110,1,2,2,6,6,3,5,7,서울특별시,경기,2인 여행(가족 외),2023-07-07~2023-07-08,2,3,1,1
e005483,28,여,30,5,1,2,2,11,,3,7,2,1,43,43130,41,41110,11,11170,3,5,2,4,3,6,3,7,인천광역시,경기,2인 가족 여행,2023-07-22~2023-07-22,3,1,5,1
e005781,41,여,20,6,1,1,2,4,,3,4,3,2,42,42150,26,26350,45,45110,3,2,2,6,6,2,6,2,서울특별시,경기,부모 동반 여행,2023-08-04~2023-08-06,2,9,3,4
e005110,41,남,30,7,1,1,1,2,,5,,2,2,42,42150,50,50110,47,47110,2,2,2,2,2,1,1,7,경기도,경기,3인 이상 여행(가족 외),2023-08-05~2023-08-06,2,9,3,3
e013030,44,남,40,7,1,2,4,2,,6,8,2,1,41,41110,44,44825,43,43760,4,4,2,2,4,4,2,2,충청남도,경기,자녀 동반 여행,2023-09-09~2023-09-09,5,7,2,3
e003867,28,여,20,6,1,1,4,3,,4,9,3,5,42,42210,26,26350,50,50130,3,1,3,2,5,6,2,4,인천광역시,경기,2인 여행(가족 외),2023-07-01~2023-07-02,1,2,3,1
e003126,41,여,20,7,5,1,3,2,,5,10,1,1,42,42150,50,50130,42,42210,1,6,1,4,4,6,6,5,경기도,경기,3인 이상 여행(가족 외),2023-06-24~2023-06-25,1,3,2,2
e008174,11,남,40,6,1,2,4,3,,5,6,2,1,42,42150,43,43150,26,26350,5,3,3,5,5,3,3,5,서울특별시,경기,나홀로 여행,2023-08-22~2023-08-22,1,2,,0
e009771,28,남,20,6,1,1,2,2,,4,5,3,3,50,50130,42,42150,26,26230,4,1,2,4,5,2,7,3,인천광역시,경기,2인 여행(가족 외),2023-08-24~2023-08-24,3,1,7,1
e004821,11,여,20,6,1,1,1,3,,4,,2,2,42,42150,26,26350,50,50110,4,2,2,3,4,4,1,7,서울특별시,경기,2인 여행(가족 외),2023-07-22~2023-07-23,3,8,7,1
e007509,11,여,30,4,1,1,4,3,,3,4,3,1,50,50110,50,50130,41,41460,7,4,4,1,4,4,4,7,서울특별시,경기,자녀 동반 여행,2023-09-02~2023-09-02,7,1,2,3
e010055,30,여,30,6,2,1,5,12,,2,12,2,2,42,42770,28,28200,44,44270,2,4,4,3,2,2,4,3,대전광역시,인천,3인 이상 여행(가족 외),2023-08-26~2023-08-26,9,1,2,4
e003433,41,남,30,6,1,1,2,3,,5,5,2,1,42,42150,42,42760,26,26350,4,1,2,2,5,6,5,7,경기도,경기,3인 이상 여행(가족 외),2023-06-17~2023-06-17,7,1,6,2
e005711,41,여,60,6,5,2,2,11,,1,5,3,2,41,41280,42,42150,26,26350,4,3,6,4,4,7,5,5,경기도,경기,2인 가족 여행,2023-07-30~2023-07-30,5,1,2,1
e003237,28,여,30,6,1,2,2,3,,5,7,3,4,50,50130,42,42210,26,26350,1,1,4,2,1,2,3,6,인천광역시,경기,2인 가족 여행,2023-06-24~2023-06-25,3,2,6,1
e000942,41,남,30,5,1,1,2,3,,5,5,3,2,41,41830,50,50130,42,42150,4,1,2,4,2,2,3,2,서울특별시,경기,2인 여행(가족 외),2023-06-03~2023-06-04,1,2,3,1
e006098,30,여,30,6,1,1,3,2,,5,7,3,4,46,46150,50,50110,11,11290,2,6,3,2,3,3,2,2,대전광역시,서울,3인 이상 여행(가족 외),2023-08-05~2023-08-05,3,2,6,2
e005102,41,남,30,6,1,2,2,3,,5,7,3,2,50,50130,26,26140,42,42150,2,2,5,2,6,5,3,2,경기도,서울,2인 여행(가족 외),2023-07-15~2023-07-15,2,5,6,1
e005351,42,여,20,6,1,1,1,3,,6,,3,5,50,50130,50,50110,47,47130,3,2,2,3,4,4,3,6,강원도,경기,3인 이상 여행(가족 외),2023-07-22~2023-07-23,3,1,5,4
e004800,45,남,20,6,2,1,1,12,,1,,4,1,11,11500,47,47130,26,26350,3,4,2,5,3,6,2,5,전라북도,서울,2인 여행(가족 외),2023-07-14~2023-07-16,1,3,2,1
e003241,41,남,30,6,1,2,2,2,,5,10,2,1,50,50130,26,26350,42,42150,6,4,1,2,2,3,6,2,경기도,인천,2인 가족 여행,2023-07-08~2023-07-09,1,3,2,1
e004245,28,남,30,6,1,1,3,3,,5,9,1,2,11,11260,11,11170,11,11545,3,5,4,2,2,2,1,5,인천광역시,서울,2인 여행(가족 외),2023-07-02~2023-07-02,7,8,3,1
e004864,47,여,20,6,2,1,4,12,,1,9,3,5,11,11740,28,28237,26,26230,5,4,5,5,3,5,5,4,경상북도,서울,2인 가족 여행,2023-07-06~2023-07-07,2,7,3,1
e007660,11,여,20,6,1,1,1,13,,1,,1,1,42,42170,42,42820,26,26410,4,4,4,4,5,5,5,5,서울특별시,경기,나홀로 여행,2023-08-23~2023-08-23,6,2,7,0
e006544,44,여,20,6,2,1,4,12,,1,1,2,3,41,41820,46,46130,44,44130,1,7,1,4,5,4,1,7,충청북도,서울,2인 여행(가족 외),2023-08-17~2023-08-17,3,7,9,1
